IlmnID	Strand	UCSC_RefGene_Name	UCSC_RefGene_Accession	class
cg09495643	F	SBNO2;SBNO2	NM_014963;NM_001100122	Promoter
cg12799885	F			Promoter
cg15642854	F			Promoter
cg24008544	R	TMEM106A;TMEM106A	NM_145041;NM_145041	Promoter
cg24603408	F			Promoter
cg01476568	F	C10orf18	NM_017782	Promoter
cg22260952	F	CHST11	NM_018413	Promoter
cg08089041	F	NINJ2	NM_016533	Promoter
cg13393476	R			Promoter
cg02304092	F	FLJ44606;FLJ44606	NM_001164478;NM_001164479	Promoter
cg05278650	F	IQSEC1;IQSEC1	NM_001134382;NM_014869	Promoter
cg09947274	R	C2orf28;C2orf28;CAD;C2orf28	NM_001170795;NM_080592;NM_004341;NM_016085	Promoter
cg25716013	R	COX7A2;COX7A2	NR_029466;NM_001865	Promoter
cg13372456	F	GALNT10	NM_198321	Promoter
cg10278102	F	PRMT3;PRMT3;PRMT3	NM_001145167;NM_001145166;NM_005788	Promoter
cg09753013	F			Promoter
cg00124375	F	DDAH2	NM_013974	Promoter
cg03175771	F	PRR14	NM_024031	Promoter
cg11401257	F	ITPKB	NM_002221	Promoter
cg11098493	F	USP4;USP4;C3orf62	NM_003363;NM_199443;NM_198562	Promoter
cg19170589	F	RORA;RORA;RORA;RORA	NM_002943;NM_134261;NM_134262;NM_134260	Promoter
cg26110883	F	CRIP1	NM_001311	Promoter
cg07796002	R	ARHGEF1;ARHGEF1;ARHGEF1	NM_004706;NM_199002;NM_198977	Promoter
cg17983217	F	DDAH2	NM_013974	Promoter
cg14872693	F	NEAT1	NR_028272	Promoter
cg26332194	R	ANO6;PLEKHA9;ANO6;ANO6	NM_001142679;NM_015899;NM_001142680;NM_001025356	Promoter
cg03656968	R	RDH13;RDH13;RDH13;RDH13;RDH13	NR_027381;NM_001145971;NM_138412;NR_027382;NM_001145971	Promoter
cg19414598	R	DMC1	NM_007068	Promoter
cg15106368	R	ACACB	NM_001093	Promoter
cg14703002	F	HIST1H1A	NM_005325	Promoter
cg21104965	F	DCBLD1	NM_173674	Promoter
cg27209395	R			Promoter
cg08135379	F	AMIGO2;AMIGO2	NM_181847;NM_001143668	Promoter
cg27073142	R	SORD	NM_003104	Promoter
cg11112419	F	CDCA7L;CDCA7L;CDCA7L	NM_001127370;NM_001127371;NM_018719	Promoter
cg06163411	R	ZC3HC1	NM_016478	Promoter
cg05955436	R	RRBP1;RRBP1	NM_001042576;NM_004587	Promoter
cg06744057	R	ZFYVE1;ZFYVE1	NM_021260;NM_021260	Promoter
cg01948202	R	PARP14	NM_017554	Promoter
cg21091247	R	ZFP36L1	NM_004926	Promoter
cg01685242	R	SIPA1	NM_006747	Promoter
cg17284531	R	VAV1	NM_005428	Promoter
cg20939114	R	PITPNC1;PITPNC1	NM_181671;NM_012417	Promoter
cg15611336	R	RPP25	NM_017793	Promoter
cg04522310	R			Promoter
cg13796250	R			Promoter
cg12319602	R			Promoter
cg09317036	F	GSDMD	NM_001166237	Promoter
cg25978218	R	EFHD2	NM_024329	Promoter
cg08051310	R	PHACTR1	NM_030948	Promoter
cg11222527	F	ITPKB	NM_002221	Promoter
cg18055007	F	DDAH2	NM_013974	Promoter
cg26121931	R			Promoter
cg25064331	R	NT5C3;NT5C3;NT5C3;NT5C3;NT5C3;NT5C3	NM_001166118;NM_016489;NM_016489;NR_029372;NM_001166118;NM_001002010	Promoter
cg12414174	F			Promoter
cg15681626	F			Promoter
cg12875426	F	DYM	NM_017653	Promoter
cg13185188	R			Promoter
cg21210224	F			Promoter
cg03359362	R	SLC1A5;SLC1A5;SLC1A5	NM_001145145;NM_005628;NM_001145144	Promoter
cg05846166	F	PRSS27	NM_031948	Promoter
cg22260869	F	SLCO3A1;SLCO3A1	NM_001145044;NM_013272	Promoter
cg21051519	R	PKD2L2	NM_014386	Promoter
cg19513321	F	VAMP5	NM_006634	Promoter
cg08920748	F	ANKRD34A	NM_001039888	Promoter
cg04663916	F	EBPL	NM_032565	Promoter
cg11028445	R	FAM96A;FAM96A	NM_001014812;NM_032231	Promoter
cg02182594	F			Promoter
cg19074709	F	DNAJB12;DNAJB12	NM_001002762;NM_017626	Promoter
cg20749792	R			Promoter
cg12119780	R	SLC24A6	NM_024959	Promoter
cg12403698	R	C10orf84;C10orf84	NM_001134672;NM_022063	Promoter
cg02853152	F			Promoter
cg18110333	F	DUSP22;DUSP22	NM_020185;NM_020185	Promoter
cg23901918	F	SH3PXD2A	NM_014631	Promoter
cg01912298	R	CAMTA2;CAMTA2;CAMTA2;CAMTA2;SPAG7	NM_015099;NM_001171167;NM_001171166;NM_001171168;NM_004890	Promoter
cg07167423	R	TFAP2E	NM_178548	Promoter
cg12584100	R			Promoter
cg23829024	R	HIST1H1A	NM_005325	Promoter
cg22994198	R	ADAMTSL5	NM_213604	Promoter
cg23804620	F			Promoter
cg12506775	R	C10orf18	NM_017782	Promoter
cg11352146	F	NEAT1	NR_028272	Promoter
cg01205267	R	LRCH1;LRCH1;LRCH1	NM_001164213;NM_015116;NM_001164211	Promoter
cg06766016	R	BTBD19	NM_001136537	Promoter
cg24015889	F			Promoter
cg02639181	F	KIDINS220	NM_020738	Promoter
cg01404317	F	SPG20;SPG20;SPG20;SPG20	NM_001142296;NM_001142294;NM_015087;NM_001142295	Promoter
cg08704509	R	GRAMD3;GRAMD3;GRAMD3;GRAMD3	NM_001146319;NM_001146321;NM_023927;NM_001146320	Promoter
cg09691340	R	SLC25A39;SLC25A39	NM_016016;NM_001143780	Promoter
cg08843517	F	CYBA	NM_000101	Promoter
cg01996116	R	HIGD1A;HIGD1A;HIGD1A	NM_014056;NM_001099668;NM_001099669	Promoter
cg16493531	R	FLOT1;IER3	NM_005803;NM_003897	Promoter
cg00500522	F	STAT6	NM_003153	Promoter
cg12516305	R	EBAG9;EBAG9	NM_004215;NM_198120	Promoter
cg16499656	F	IKZF1;IKZF1	NM_006060;NM_006060	Promoter
cg06752054	F	MX2	NM_002463	Promoter
cg18586886	R	KIAA1949;KIAA1949	NM_001134870;NM_133471	Promoter
cg23045255	R			Promoter
cg10259735	F	USP4;USP4;C3orf62	NM_003363;NM_199443;NM_198562	Promoter
cg24440658	F			Promoter
cg24679423	F	USP3	NM_006537	Promoter
cg11437810	F	RPLP1;RPLP1	NM_213725;NM_001003	Promoter
cg04650676	F	SEPT9;SEPT9;SEPT9	NM_001113492;NM_006640;NM_001113491	Promoter
cg22452230	F			Promoter
cg18713748	F			Promoter
cg05233373	R			Promoter
cg10380585	R	TRAF5;TRAF5	NM_004619;NM_001033910	Promoter
cg15652532	R	LCLAT1;LCLAT1	NM_182551;NM_001002257	Promoter
cg04411625	R	CRIP1	NM_001311	Promoter
cg02345399	F			Promoter
cg17090968	R	SLC38A1;SLC38A1	NM_030674;NM_001077484	Promoter
cg00848945	R	CACNA1C;CACNA1C;CACNA1C;CACNA1C;CACNA1C;CACNA1C;CACNA1C;CACNA1C;CACNA1C;CACNA1C;CACNA1C;CACNA1C;CACNA1C;CACNA1C;CACNA1C;CACNA1C;CACNA1C;CACNA1C;CACNA1C;CACNA1C;CACNA1C;CACNA1C;CACNA1C	NM_001129846;NM_001129843;NM_001129838;NM_001129837;NM_199460;NM_001167623;NM_001129833;NM_001129834;NM_001167625;NM_001129836;NM_001129831;NM_001129841;NM_001129835;NM_001129842;NM_001129840;NM_001167624;NM_001129844;NM_001129827;NM_001129839;NM_001129832;NM_001129830;NM_000719;NM_001129829	Promoter
cg04186657	R	HLA-F;HLA-F;HLA-F	NM_001098478;NM_001098479;NM_018950	Promoter
cg11549953	R			Promoter
cg09745440	F	SMTN;SMTN;SMTN	NM_006932;NM_134269;NM_134270	Promoter
cg11446240	F	MCM6	NM_005915	Promoter
cg14397166	R	ZFP36L1	NM_004926	Promoter
cg16331823	R	FLOT1;IER3	NM_005803;NM_003897	Promoter
cg02006203	F	UPP1;UPP1	NM_181597;NM_003364	Promoter
cg00438740	R	INPP5D;INPP5D	NM_001017915;NM_005541	Promoter
cg22905511	F	FLJ44606;FLJ44606	NM_001164478;NM_001164479	Promoter
cg05427639	R	NT5C3;NT5C3;NT5C3;NT5C3;NT5C3;NT5C3	NM_001166118;NM_016489;NM_016489;NR_029372;NM_001166118;NM_001002010	Promoter
cg03397307	R	EFCAB4B;EFCAB4B;EFCAB4B	NM_001144959;NM_032680;NM_001144958	Promoter
cg09626521	R			Promoter
cg27526774	R			Promoter
cg16751098	F	ZFP36L1	NM_004926	Promoter
cg09573843	R	KIAA0922;KIAA0922	NM_015196;NM_001131007	Promoter
cg24969520	R			Promoter
cg13888838	R	NHEJ1	NM_024782	Promoter
cg04196345	F	NAGS	NM_153006	Promoter
cg25095814	F	CASP8;CASP8;CASP8;CASP8	NM_033355;NM_001228;NM_001080124;NM_033358	Promoter
cg27119318	R	WRB;WRB	NM_004627;NM_001146218	Promoter
cg03188948	F			Promoter
cg14709691	F			Promoter
cg10393598	F			Promoter
cg00297876	R	NAPSA	NM_004851	Promoter
cg18473137	F	CDK5R1	NM_003885	Promoter
cg17831269	F	CHD5	NM_015557	Promoter
cg09565404	R	FER	NM_005246	Promoter
cg20430725	F	MCM6	NM_005915	Promoter
cg10308673	F			Promoter
cg00687252	F	IER3	NM_003897	Promoter
cg08466034	R	TRPV2;TRPV2	NM_016113;NM_016113	Promoter
cg08543966	R	FXYD5;FXYD5;FXYD5;FXYD5	NM_014164;NM_144779;NR_028406;NM_001164605	Promoter
cg18710053	R	FLJ44606;FLJ44606	NM_001164478;NM_001164479	Promoter
cg04212239	F	SMC4;SMC4	NM_005496;NM_001002800	Promoter
cg18402987	R			Promoter
cg04418091	F	ATP5G2;ATP5G2	NM_005176;NM_001002031	Promoter
cg03048432	R	NIN;NIN;NIN;NIN	NM_182946;NM_020921;NM_016350;NM_182944	Promoter
cg26310551	F	LTB4R2;LTB4R2;LTB4R2;CIDEB;CIDEB;LTB4R	NM_001164693;NM_019839;NM_001164692;NM_014430;NM_014430;NM_001143919	Promoter
cg16659026	F	PRPF31;TFPT	NM_015629;NM_013342	Promoter
cg04775710	F	IER3	NM_003897	Promoter
cg11654900	R			Promoter
cg05463589	F	IL17C	NM_013278	Promoter
cg16578537	R	FAM43A	NM_153690	Promoter
cg04413153	F	HHEX	NM_002729	Promoter
cg23980776	R	PDE6B;PDE6B;PDE6B	NM_000283;NM_001145291;NM_001145292	Promoter
cg10916998	R	FLOT1;IER3	NM_005803;NM_003897	Promoter
cg25247183	R	LGALS1	NM_002305	Promoter
cg18467189	F	RASAL3	NM_022904	Promoter
cg13185005	F			Promoter
cg19027852	F	UNC13A	NM_001080421	Promoter
cg10714639	F	HMHA1	NM_012292	Promoter
cg10812634	F	FLJ44606;FLJ44606	NM_001164478;NM_001164479	Promoter
cg06632207	R	ATP5G2;ATP5G2	NM_005176;NM_001002031	Promoter
cg00691240	R	TXNDC12;KTI12	NM_015913;NM_138417	Promoter
cg11811510	R	CEACAM1;CEACAM1	NM_001024912;NM_001712	Promoter
cg12817908	R	NMNAT3	NM_178177	Promoter
cg05265512	R	TGIF1;TGIF1	NM_174886;NM_173207	Promoter
cg11767984	R	ZNF788	NR_027049	Promoter
cg18957751	R			Promoter
cg27097438	F	FLJ44606;FLJ44606;FLJ44606;FLJ44606	NM_001164478;NM_001164479;NM_001164479;NM_001164478	Promoter
cg00927231	R			Promoter
cg07954414	F	KIAA0922;KIAA0922	NM_015196;NM_001131007	Promoter
cg13047462	R	NOD1	NM_006092	Promoter
cg06699519	F	CD81	NM_004356	Promoter
cg02970696	F	ZNF148	NM_021964	Promoter
cg06567290	F	SLC37A4;SLC37A4;SLC37A4;SLC37A4;SLC37A4;SLC37A4	NM_001164277;NM_001164280;NM_001164278;NM_001164280;NM_001467;NM_001164279	Promoter
cg25590392	F	TMEM52	NM_178545	Promoter
cg12177220	F	DLEC1;DLEC1	NM_007337;NM_007335	Promoter
cg15994026	R	CD38	NM_001775	Promoter
cg05006755	R			Promoter
cg21176130	F	HLA-E	NM_005516	Promoter
cg00522883	F	SLC43A3;SLC43A3;SLC43A3	NM_199329;NM_014096;NM_017611	Promoter
cg25416067	F	SEPT9;SEPT9;SEPT9;SEPT9	NM_006640;NM_001113492;NM_001113491;NM_006640	Promoter
cg14016875	F	HS3ST3B1;MGC12916	NM_006041;NR_026880	Promoter
cg03049782	R	TMEM106A	NM_145041	Promoter
cg21363348	R	TMEM140	NM_018295	Promoter
cg18160135	F	EIF4E;EIF4E;EIF4E;EIF4E;EIF4E	NM_001130679;NM_001968;NM_001968;NM_001130678;NM_001130679	Promoter
cg06937882	F	C20orf3	NM_020531	Promoter
cg08794939	F	ZFPM1	NM_153813	Promoter
cg14409810	R	C9orf167	NM_017723	Promoter
cg23071186	F	TNFSF14;TNFSF14	NM_172014;NM_003807	Promoter
cg18500448	R	ZNF767;ZNF767	NR_027789;NR_027788	Promoter
cg07758574	F	C3orf62;C3orf62	NM_198562;NM_198562	Promoter
cg09527615	F			Promoter
cg16881676	R	TUBA1C	NM_032704	Promoter
cg04001333	F	FLVCR2	NM_017791	Promoter
cg09127400	F	IER3	NM_003897	Promoter
cg10683527	R	NEIL3	NM_018248	Promoter
cg06829266	F	NME4	NM_005009	Promoter
cg15165084	F	GRAMD3;GRAMD3;GRAMD3;GRAMD3;GRAMD3;GRAMD3;GRAMD3	NM_023927;NM_001146320;NM_001146321;NM_023927;NM_001146320;NM_001146319;NM_001146321	Promoter
cg10213875	F	UPP1;UPP1	NM_181597;NM_003364	Promoter
cg02183671	F	CD38;CD38	NM_001775;NM_001775	Promoter
cg16555856	F	TIGD3	NM_145719	Promoter
cg00469015	R	RPLP1;RPLP1	NM_213725;NM_001003	Promoter
cg23962483	R	MFSD2A;MFSD2A	NM_032793;NM_001136493	Promoter
cg25675800	F	RINL	NM_198445	Promoter
cg24337786	F	MAP4K1;EIF3K;MAP4K1	NM_007181;NM_013234;NM_001042600	Promoter
cg10398418	F	CUGBP2;CUGBP2;CUGBP2;CUGBP2	NM_001025076;NM_006561;NM_001025077;NM_001083591	Promoter
cg06456738	R	CCDC87;CCS	NM_018219;NM_005125	Promoter
cg22023531	R	SORD	NM_003104	Promoter
cg12480053	F			Promoter
cg01421119	R	C1orf97	NR_026761	Promoter
cg24601030	F	DIXDC1;DIXDC1	NM_033425;NM_001037954	Promoter
cg20691205	R	SPG20;SPG20;SPG20;SPG20	NM_001142296;NM_001142294;NM_015087;NM_001142295	Promoter
cg18184107	F	C14orf43	NM_001043318	Promoter
cg05471169	R			Promoter
cg06073139	R	SLC38A7	NM_018231	Promoter
cg19357499	R	NAPRT1	NM_145201	Promoter
cg03598754	F	SARM1	NM_015077	Promoter
cg20701183	R	LMO4	NM_006769	Promoter
cg13722431	F	SERPINB9;SERPINB9	NM_004155;NM_004155	Promoter
cg08508337	R	NAPRT1	NM_145201	Promoter
cg05728019	F			Promoter
cg20729747	R	H2AFJ;H2AFJ;H2AFJ	NM_177925;NR_027716;NM_177925	Promoter
cg09980477	F	ARSG;ARSG	NM_014960;NM_014960	Promoter
cg22459664	F			Promoter
cg26783666	R	SSB	NM_003142	Promoter
cg27610821	R	JOSD1	NM_014876	Promoter
cg17297071	R	MIR155HG	NR_001458	Promoter
cg04582364	R	FST;FST	NM_006350;NM_013409	Promoter
cg24035962	R	NCOA4;NCOA4;NCOA4;NCOA4	NM_005437;NM_001145263;NM_001145261;NM_001145260	Promoter
cg06671387	R	ELMOD2	NM_153702	Promoter
cg10011232	R	FKBP8	NM_012181	Promoter
cg11768167	R	HLA-F;HLA-F;HLA-F	NM_001098478;NM_001098479;NM_018950	Promoter
cg21171461	R	RAPGEF1;RAPGEF1	NM_198679;NM_005312	Promoter
cg19658829	F	UBC	NM_021009	Promoter
cg06069310	F	ACAA1;ACAA1;ACAA1;MYD88	NR_024024;NM_001607;NM_001130410;NM_002468	Promoter
cg03541437	F			Promoter
cg10933959	R	FLJ42289;FLJ42289	NR_028140;NR_028139	Promoter
cg07611000	F	EHBP1L1	NM_001099409	Promoter
cg17749961	R	LCLAT1;LCLAT1	NM_182551;NM_001002257	Promoter
cg15732851	F	ATP2B4;ATP2B4	NM_001001396;NM_001684	Promoter
cg19605920	F	MGAT1;MGAT1;MGAT1;MGAT1;MGAT1	NM_001114618;NM_001114619;NM_001114620;NM_002406;NM_001114617	Promoter
cg08013331	R			Promoter
cg17593584	R	NHEJ1	NM_024782	Promoter
cg12873476	R			Promoter
cg08363339	R	SLMO2	NM_016045	Promoter
cg00490406	F	AIM2	NM_004833	Promoter
cg16264705	F	ATP5G2;ATP5G2	NM_005176;NM_001002031	Promoter
cg01165043	R			Promoter
cg24631482	R			Promoter
cg22916017	R	CCDC88B	NM_032251	Promoter
cg09130035	F	LDHB	NM_002300	Promoter
cg03212674	F	CLK2	NM_003993	Promoter
cg11201654	R	HLA-F;HLA-F;HLA-F	NM_001098478;NM_001098479;NM_018950	Promoter
cg04730850	R	PXMP4;PXMP4	NM_007238;NM_183397	Promoter
cg26874229	F			Promoter
cg08177833	F	CYBA	NM_000101	Promoter
cg19549714	R	TGIF1;TGIF1;TGIF1	NM_174886;NM_173207;NM_173207	Promoter
cg11392885	F	TMEM154;TMEM154	NM_152680;NM_152680	Promoter
cg26355004	R	C4orf19	NM_001104629	Promoter
cg24404630	F	C18orf1;C18orf1;C18orf1;C18orf1;C18orf1;C18orf1	NM_001003675;NM_181481;NM_181482;NM_001003674;NM_001003675;NM_001003674	Promoter
cg07814289	R	DNM1;DNM1	NM_004408;NM_001005336	Promoter
cg18097224	F	TCF7;TCF7;TCF7;TCF7;TCF7;TCF7;TCF7	NM_201632;NM_001134852;NM_001134851;NM_201633;NM_003202;NM_213648;NM_201634	Promoter
cg01857475	F	TXNRD1;TXNRD1;TXNRD1;EID3;TXNRD1;TXNRD1	NM_182729;NM_182743;NM_001093771;NM_001008394;NM_003330;NM_182742	Promoter
cg26955987	R	EFCAB4B;EFCAB4B;EFCAB4B	NM_001144959;NM_032680;NM_001144958	Promoter
cg19974227	R	RGS12;RGS12;RGS12;RGS12	NM_198229;NM_198227;NM_198227;NM_002926	Promoter
cg00499210	R	NEAT1	NR_028272	Promoter
cg13804182	R	FLOT1;IER3	NM_005803;NM_003897	Promoter
cg06344807	F	SLC9A3R1	NM_004252	Promoter
cg14981532	F			Promoter
cg01421380	F	UBXN1	NM_015853	Promoter
cg22834713	F			Promoter
cg09777775	F	AGPAT3	NM_020132	Promoter
cg14426428	F	AIM1	NM_001624	Promoter
cg20033652	R	NIN;NIN;NIN;NIN	NM_182946;NM_020921;NM_016350;NM_182944	Promoter
cg16477879	R	ASB1	NM_001040445	Promoter
cg08172221	F	TIGD1;EIF4E2	NM_145702;NM_004846	Promoter
cg13531596	F			Promoter
cg01272707	F			Promoter
cg11397854	F	IQSEC1;IQSEC1	NM_001134382;NM_014869	Promoter
cg11026555	F	DNAH10	NM_207437	Promoter
