source	type	gene_id	gene_type	gene_name	hgnc_id	havana_gene	transcript_id	transcript_type	transcript_name
HAVANA	gene	ENSG00000236104	protein_coding	ZBTB22	HGNC:13085	OTTHUMG00000031110.5	ENST00000441117.1	protein_coding	ZBTB22-209
ENSEMBL	gene	ENSG00000171560	protein_coding	FGA	HGNC:3661	OTTHUMG00000150330.6	ENST00000622532.1	protein_coding	FGA-202
HAVANA	gene	ENSG00000153820	protein_coding	SPHKAP	HGNC:30619	OTTHUMG00000153584.2	ENST00000490603.1	retained_intron	SPHKAP-203
HAVANA	gene	ENSG00000138696	protein_coding	BMPR1B	HGNC:1077	OTTHUMG00000130991.6	ENST00000394931.1	protein_coding	BMPR1B-202
ENSEMBL	gene	ENSG00000185303	protein_coding	SFTPA2	HGNC:10799	OTTHUMG00000018566.4	ENST00000640627.1	protein_coding	SFTPA2-205
HAVANA	gene	ENSG00000185002	protein_coding	RFX6	HGNC:21478	OTTHUMG00000015449.5	ENST00000471966.1	processed_transcript	RFX6-202
HAVANA	gene	ENSG00000170099	protein_coding	SERPINA6	HGNC:1540	OTTHUMG00000171346.2	ENST00000557225.1	protein_coding	SERPINA6-203
HAVANA	gene	ENSG00000168484	protein_coding	SFTPC	HGNC:10802	OTTHUMG00000163775.2	ENST00000522630.2	retained_intron	SFTPC-207
HAVANA	gene	ENSG00000182196	protein_coding	ARL6IP4	HGNC:18076	OTTHUMG00000168779.4	ENST00000536073.1	retained_intron	ARL6IP4-213
HAVANA	gene	ENSG00000135100	protein_coding	HNF1A	HGNC:11621	OTTHUMG00000151015.8	ENST00000543255.1	retained_intron	HNF1A-210
HAVANA	gene	ENSG00000089250	protein_coding	NOS1	HGNC:7872	OTTHUMG00000137376.4	ENST00000477584.1	processed_transcript	NOS1-204
HAVANA	gene	ENSG00000185231	protein_coding	MC2R	HGNC:6930	OTTHUMG00000131721.5	ENST00000399821.2	protein_coding	MC2R-202
HAVANA	gene	ENSG00000121853	protein_coding	GHSR	HGNC:4267	OTTHUMG00000156946.4	ENST00000427970.1	protein_coding	GHSR-202
HAVANA	gene	ENSG00000203972	protein_coding	GLYATL3	HGNC:21349	OTTHUMG00000014818.5	ENST00000545705.1	protein_coding	GLYATL3-202
HAVANA	gene	ENSG00000154478	protein_coding	GPR26	HGNC:4481	OTTHUMG00000019204.2	ENST00000284674.2	protein_coding	GPR26-201
HAVANA	gene	ENSG00000151834	protein_coding	GABRA2	HGNC:4076	OTTHUMG00000044266.8	ENST00000509716.2	processed_transcript	GABRA2-207
HAVANA	gene	ENSG00000160182	protein_coding	TFF1	HGNC:11755	OTTHUMG00000086799.2	ENST00000291527.3	protein_coding	TFF1-201
HAVANA	gene	ENSG00000148584	protein_coding	A1CF	HGNC:24086	OTTHUMG00000018240.6	ENST00000414883.1	protein_coding	A1CF-208
HAVANA	gene	ENSG00000225783	lncRNA	MIAT	HGNC:33425	OTTHUMG00000150985.12	ENST00000665574.1	lncRNA	MIAT-226
HAVANA	gene	ENSG00000101438	protein_coding	SLC32A1	HGNC:11018	OTTHUMG00000032457.2	ENST00000217420.2	protein_coding	SLC32A1-201
HAVANA	gene	ENSG00000136352	protein_coding	NKX2-1	HGNC:11825	OTTHUMG00000140225.7	ENST00000546983.1	protein_coding	NKX2-1-205
HAVANA	gene	ENSG00000164326	protein_coding	CARTPT	HGNC:24323	OTTHUMG00000131261.4	ENST00000513096.1	processed_transcript	CARTPT-202
HAVANA	gene	ENSG00000280987	protein_coding	MATR3	NA	OTTHUMG00000189583.4	ENST00000361059.7	protein_coding	MATR3-229
HAVANA	gene	ENSG00000149295	protein_coding	DRD2	HGNC:3023	OTTHUMG00000167717.3	ENST00000542616.1	protein_coding	DRD2-207
HAVANA	gene	ENSG00000124107	protein_coding	SLPI	HGNC:11092	OTTHUMG00000033075.3	ENST00000338380.2	protein_coding	SLPI-201
HAVANA	gene	ENSG00000254452	lncRNA	AP001107.2	NA	OTTHUMG00000166908.1	ENST00000528650.1	lncRNA	AP001107.2-202
HAVANA	gene	ENSG00000100433	protein_coding	KCNK10	HGNC:6273	OTTHUMG00000170743.3	ENST00000556282.1	protein_coding	KCNK10-204
HAVANA	gene	ENSG00000100429	protein_coding	HDAC10	HGNC:18128	OTTHUMG00000044647.7	ENST00000482213.1	retained_intron	HDAC10-213
HAVANA	gene	ENSG00000169903	protein_coding	TM4SF4	HGNC:11856	OTTHUMG00000159619.3	ENST00000463068.1	retained_intron	TM4SF4-202
HAVANA	gene	ENSG00000166509	protein_coding	CLEC3A	HGNC:2052	OTTHUMG00000137620.5	ENST00000565808.1	processed_transcript	CLEC3A-202
HAVANA	gene	ENSG00000261093	lncRNA	AC141586.3	NA	OTTHUMG00000177171.1	ENST00000562166.1	lncRNA	AC141586.3-201
HAVANA	gene	ENSG00000105677	protein_coding	TMEM147	HGNC:30414	OTTHUMG00000048105.6	ENST00000392205.2	protein_coding	TMEM147-203
HAVANA	gene	ENSG00000259436	lncRNA	AC010247.2	NA	OTTHUMG00000171961.1	ENST00000559786.1	lncRNA	AC010247.2-201
HAVANA	gene	ENSG00000178965	protein_coding	ERICH3	HGNC:25346	OTTHUMG00000009622.6	ENST00000479666.1	nonsense_mediated_decay	ERICH3-204
HAVANA	gene	ENSG00000185559	protein_coding	DLK1	HGNC:2907	OTTHUMG00000171600.5	ENST00000556051.1	protein_coding	DLK1-205
HAVANA	gene	ENSG00000103024	protein_coding	NME3	HGNC:7851	OTTHUMG00000128635.3	ENST00000564252.1	retained_intron	NME3-206
HAVANA	gene	ENSG00000139988	protein_coding	RDH12	HGNC:19977	OTTHUMG00000170032.2	ENST00000552873.1	retained_intron	RDH12-204
HAVANA	gene	ENSG00000101076	protein_coding	HNF4A	HGNC:5024	OTTHUMG00000032531.6	ENST00000415691.2	protein_coding	HNF4A-204
HAVANA	gene	ENSG00000229415	protein_coding	SFTA3	HGNC:18387	OTTHUMG00000170540.2	ENST00000521380.1	processed_transcript	SFTA3-208
HAVANA	gene	ENSG00000176769	protein_coding	TCERG1L	HGNC:23533	OTTHUMG00000019276.3	ENST00000368642.4	protein_coding	TCERG1L-201
HAVANA	gene	ENSG00000127325	protein_coding	BEST3	HGNC:17105	OTTHUMG00000149919.7	ENST00000533674.1	processed_transcript	BEST3-207
HAVANA	gene	ENSG00000100557	protein_coding	CCDC198	HGNC:20189	OTTHUMG00000140317.6	ENST00000526336.1	protein_coding	CCDC198-204
HAVANA	gene	ENSG00000111262	protein_coding	KCNA1	HGNC:6218	OTTHUMG00000044398.5	ENST00000639680.1	protein_coding	KCNA1-204
HAVANA	gene	ENSG00000244462	protein_coding	RBM12	HGNC:9898	OTTHUMG00000032350.5	ENST00000435161.1	protein_coding	RBM12-206
HAVANA	gene	ENSG00000151952	protein_coding	TMEM132D	HGNC:29411	OTTHUMG00000168400.2	ENST00000422113.7	protein_coding	TMEM132D-202
HAVANA	gene	ENSG00000104435	protein_coding	STMN2	HGNC:10577	OTTHUMG00000164610.3	ENST00000518491.1	protein_coding	STMN2-203
HAVANA	gene	ENSG00000136750	protein_coding	GAD2	HGNC:4093	OTTHUMG00000017836.5	ENST00000376248.1	retained_intron	GAD2-202
HAVANA	gene	ENSG00000081479	protein_coding	LRP2	HGNC:6694	OTTHUMG00000132179.5	ENST00000493501.1	retained_intron	LRP2-204
HAVANA	gene	ENSG00000100095	protein_coding	SEZ6L	HGNC:10763	OTTHUMG00000150870.6	ENST00000494013.1	processed_transcript	SEZ6L-208
HAVANA	gene	ENSG00000198216	protein_coding	CACNA1E	HGNC:1392	OTTHUMG00000037301.9	ENST00000644521.1	protein_coding	CACNA1E-211
HAVANA	gene	ENSG00000105707	protein_coding	HPN	HGNC:5155	OTTHUMG00000182474.3	ENST00000600675.1	processed_transcript	HPN-209
HAVANA	gene	ENSG00000224417	lncRNA	AL606970.1	NA	OTTHUMG00000016045.2	ENST00000445442.2	lncRNA	AL606970.1-201
HAVANA	gene	ENSG00000067715	protein_coding	SYT1	HGNC:11509	OTTHUMG00000134326.5	ENST00000549559.2	processed_transcript	SYT1-207
HAVANA	gene	ENSG00000113924	protein_coding	HGD	HGNC:4892	OTTHUMG00000159441.4	ENST00000480862.1	retained_intron	HGD-206
HAVANA	gene	ENSG00000259234	lncRNA	ANKRD34C-AS1	HGNC:48618	OTTHUMG00000172071.3	ENST00000558297.1	lncRNA	ANKRD34C-AS1-202
HAVANA	gene	ENSG00000164265	protein_coding	SCGB3A2	HGNC:18391	OTTHUMG00000129729.3	ENST00000296694.5	protein_coding	SCGB3A2-201
HAVANA	gene	ENSG00000188580	protein_coding	NKAIN2	HGNC:16443	OTTHUMG00000015500.3	ENST00000640160.1	nonsense_mediated_decay	NKAIN2-206
HAVANA	gene	ENSG00000173702	protein_coding	MUC13	HGNC:7511	OTTHUMG00000159484.5	ENST00000497378.1	processed_transcript	MUC13-204
HAVANA	gene	ENSG00000149021	protein_coding	SCGB1A1	HGNC:12523	OTTHUMG00000167526.5	ENST00000278282.3	protein_coding	SCGB1A1-201
HAVANA	gene	ENSG00000188763	protein_coding	FZD9	HGNC:4047	OTTHUMG00000023051.3	ENST00000344575.5	protein_coding	FZD9-201
HAVANA	gene	ENSG00000079112	protein_coding	CDH17	HGNC:1756	OTTHUMG00000164391.3	ENST00000521491.1	protein_coding	CDH17-205
HAVANA	gene	ENSG00000177519	protein_coding	RPRM	HGNC:24201	OTTHUMG00000131905.2	ENST00000325926.4	protein_coding	RPRM-201
HAVANA	gene	ENSG00000136110	protein_coding	CNMD	HGNC:17005	OTTHUMG00000016980.5	ENST00000431550.1	protein_coding	CNMD-202
HAVANA	gene	ENSG00000133863	protein_coding	TEX15	HGNC:11738	OTTHUMG00000163881.4	ENST00000518257.1	processed_transcript	TEX15-202
HAVANA	gene	ENSG00000184564	protein_coding	SLITRK6	HGNC:23503	OTTHUMG00000017157.6	ENST00000645642.1	processed_transcript	SLITRK6-202
HAVANA	gene	ENSG00000166159	protein_coding	LRTM2	HGNC:32443	OTTHUMG00000168088.4	ENST00000546157.1	processed_transcript	LRTM2-211
HAVANA	gene	ENSG00000113100	protein_coding	CDH9	HGNC:1768	OTTHUMG00000090671.4	ENST00000511822.1	protein_coding	CDH9-204
HAVANA	gene	ENSG00000145721	protein_coding	LIX1	HGNC:18581	OTTHUMG00000128720.5	ENST00000512378.1	protein_coding	LIX1-202
ENSEMBL	gene	ENSG00000146166	protein_coding	LGSN	HGNC:21016	OTTHUMG00000014946.6	ENST00000622415.1	protein_coding	LGSN-204
HAVANA	gene	ENSG00000135374	protein_coding	ELF5	HGNC:3320	OTTHUMG00000166451.2	ENST00000532417.1	protein_coding	ELF5-205
HAVANA	gene	ENSG00000178235	protein_coding	SLITRK1	HGNC:20297	OTTHUMG00000017149.1	ENST00000377084.3	protein_coding	SLITRK1-201
HAVANA	gene	ENSG00000103316	protein_coding	CRYM	HGNC:2418	OTTHUMG00000090707.4	ENST00000574787.1	processed_transcript	CRYM-209
HAVANA	gene	ENSG00000283413	lncRNA	AC008703.1	NA	OTTHUMG00000191707.1	ENST00000637629.1	lncRNA	AC008703.1-201
HAVANA	gene	ENSG00000198739	protein_coding	LRRTM3	HGNC:19410	OTTHUMG00000018332.3	ENST00000472278.1	processed_transcript	LRRTM3-202
HAVANA	gene	ENSG00000166866	protein_coding	MYO1A	HGNC:7595	OTTHUMG00000149899.5	ENST00000471791.1	processed_transcript	MYO1A-204
HAVANA	gene	ENSG00000135480	protein_coding	KRT7	HGNC:6445	OTTHUMG00000169580.2	ENST00000549638.1	retained_intron	KRT7-208
HAVANA	gene	ENSG00000089169	protein_coding	RPH3A	HGNC:17056	OTTHUMG00000169713.15	ENST00000549324.1	retained_intron	RPH3A-214
HAVANA	gene	ENSG00000152954	protein_coding	NRSN1	HGNC:17881	OTTHUMG00000016406.4	ENST00000378475.1	protein_coding	NRSN1-201
HAVANA	gene	ENSG00000110680	protein_coding	CALCA	HGNC:1437	OTTHUMG00000159731.3	ENST00000396372.2	protein_coding	CALCA-203
HAVANA	gene	ENSG00000118733	protein_coding	OLFM3	HGNC:17990	OTTHUMG00000010941.2	ENST00000468901.1	processed_transcript	OLFM3-205
HAVANA	gene	ENSG00000106541	protein_coding	AGR2	HGNC:328	OTTHUMG00000023446.5	ENST00000486219.1	processed_transcript	AGR2-206
HAVANA	gene	ENSG00000187122	protein_coding	SLIT1	HGNC:11085	OTTHUMG00000018843.5	ENST00000456008.2	processed_transcript	SLIT1-205
HAVANA	gene	ENSG00000287243	lncRNA	AC005908.3	NA	OTTHUMG00000195122.2	ENST00000668740.1	lncRNA	AC005908.3-203
HAVANA	gene	ENSG00000269292	lncRNA	AC093503.2	NA	OTTHUMG00000183428.2	ENST00000597609.1	lncRNA	AC093503.2-201
HAVANA	gene	ENSG00000273333	lncRNA	AL662884.1	NA	OTTHUMG00000185990.2	ENST00000559458.2	lncRNA	AL662884.1-201
HAVANA	gene	ENSG00000136267	protein_coding	DGKB	HGNC:2850	OTTHUMG00000152477.3	ENST00000463981.2	processed_transcript	DGKB-208
HAVANA	gene	ENSG00000164588	protein_coding	HCN1	HGNC:4845	OTTHUMG00000131155.6	ENST00000638054.1	processed_transcript	HCN1-205
HAVANA	gene	ENSG00000134121	protein_coding	CHL1	HGNC:1939	OTTHUMG00000090601.12	ENST00000445697.1	protein_coding	CHL1-206
HAVANA	gene	ENSG00000131668	protein_coding	BARX1	HGNC:955	OTTHUMG00000020255.6	ENST00000253968.11	protein_coding	BARX1-201
HAVANA	gene	ENSG00000184672	protein_coding	RALYL	HGNC:27036	OTTHUMG00000164628.7	ENST00000518065.1	retained_intron	RALYL-203
HAVANA	gene	ENSG00000069011	protein_coding	PITX1	HGNC:9004	OTTHUMG00000149983.7	ENST00000502676.1	protein_coding	PITX1-202
HAVANA	gene	ENSG00000266524	protein_coding	GDF10	HGNC:4215	OTTHUMG00000188319.2	ENST00000580279.2	protein_coding	GDF10-201
HAVANA	gene	ENSG00000139800	protein_coding	ZIC5	HGNC:20322	OTTHUMG00000017280.3	ENST00000267294.4	protein_coding	ZIC5-201
HAVANA	gene	ENSG00000124253	protein_coding	PCK1	HGNC:8724	OTTHUMG00000032825.4	ENST00000485958.1	retained_intron	PCK1-205
HAVANA	gene	ENSG00000171246	protein_coding	NPTX1	HGNC:7952	OTTHUMG00000177607.2	ENST00000575212.1	processed_transcript	NPTX1-204
HAVANA	gene	ENSG00000146013	protein_coding	GFRA3	HGNC:4245	OTTHUMG00000129200.3	ENST00000378362.3	protein_coding	GFRA3-202
HAVANA	gene	ENSG00000232258	protein_coding	TMEM114	HGNC:33227	OTTHUMG00000172868.2	ENST00000624696.1	protein_coding	TMEM114-205
HAVANA	gene	ENSG00000113327	protein_coding	GABRG2	HGNC:4087	OTTHUMG00000130350.8	ENST00000638253.1	processed_transcript	GABRG2-207
HAVANA	gene	ENSG00000166589	protein_coding	CDH16	HGNC:1755	OTTHUMG00000137518.7	ENST00000565235.2	protein_coding	CDH16-203
HAVANA	gene	ENSG00000173452	protein_coding	TMEM196	HGNC:22431	OTTHUMG00000152504.3	ENST00000493519.2	protein_coding	TMEM196-205
ENSEMBL	gene	ENSG00000185274	protein_coding	GALNT17	HGNC:16347	OTTHUMG00000129783.5	ENST00000618959.1	protein_coding	GALNT17-205
HAVANA	gene	ENSG00000146530	protein_coding	VWDE	HGNC:21897	OTTHUMG00000152315.9	ENST00000326715.4	nonsense_mediated_decay	VWDE-202
HAVANA	gene	ENSG00000070019	protein_coding	GUCY2C	HGNC:4688	OTTHUMG00000168732.3	ENST00000535803.1	retained_intron	GUCY2C-202
HAVANA	gene	ENSG00000132465	protein_coding	JCHAIN	HGNC:5713	OTTHUMG00000129909.5	ENST00000470866.1	protein_coding	JCHAIN-203
HAVANA	gene	ENSG00000163501	protein_coding	IHH	HGNC:5956	OTTHUMG00000154631.3	ENST00000295731.7	protein_coding	IHH-201
HAVANA	gene	ENSG00000008394	protein_coding	MGST1	HGNC:7061	OTTHUMG00000168816.5	ENST00000359720.3	processed_transcript	MGST1-202
HAVANA	gene	ENSG00000146276	protein_coding	GABRR1	HGNC:4090	OTTHUMG00000015195.3	ENST00000481493.1	processed_transcript	GABRR1-205
HAVANA	gene	ENSG00000087495	protein_coding	PHACTR3	HGNC:15833	OTTHUMG00000032869.6	ENST00000473657.1	retained_intron	PHACTR3-207
HAVANA	gene	ENSG00000160862	protein_coding	AZGP1	HGNC:910	OTTHUMG00000023066.5	ENST00000495765.1	retained_intron	AZGP1-206
HAVANA	gene	ENSG00000186529	protein_coding	CYP4F3	HGNC:2646	OTTHUMG00000182374.5	ENST00000588886.2	processed_transcript	CYP4F3-205
ENSEMBL	gene	ENSG00000187144	protein_coding	SPATA21	HGNC:28026	OTTHUMG00000002312.3	ENST00000612240.1	protein_coding	SPATA21-206
HAVANA	gene	ENSG00000263639	protein_coding	MSMB	HGNC:7372	OTTHUMG00000188315.4	ENST00000663171.1	protein_coding	MSMB-203
HAVANA	gene	ENSG00000185518	protein_coding	SV2B	HGNC:16874	OTTHUMG00000149833.4	ENST00000553727.1	retained_intron	SV2B-204
HAVANA	gene	ENSG00000119125	protein_coding	GDA	HGNC:4212	OTTHUMG00000020005.4	ENST00000436438.1	protein_coding	GDA-205
HAVANA	gene	ENSG00000197249	protein_coding	SERPINA1	HGNC:8941	OTTHUMG00000150355.6	ENST00000557093.1	processed_transcript	SERPINA1-216
HAVANA	gene	ENSG00000082556	polymorphic_pseudogene	OPRK1	HGNC:8154	OTTHUMG00000164276.3	ENST00000520287.5	protein_coding	OPRK1-202
HAVANA	gene	ENSG00000177551	protein_coding	NHLH2	HGNC:7818	OTTHUMG00000011969.3	ENST00000429731.1	protein_coding	NHLH2-203
HAVANA	gene	ENSG00000182747	protein_coding	SLC35D3	HGNC:15621	OTTHUMG00000015651.3	ENST00000331858.5	protein_coding	SLC35D3-201
HAVANA	gene	ENSG00000168843	protein_coding	FSTL5	HGNC:21386	OTTHUMG00000161397.7	ENST00000511170.1	processed_transcript	FSTL5-204
ENSEMBL	gene	ENSG00000185352	protein_coding	HS6ST3	HGNC:19134	OTTHUMG00000017232.3	ENST00000620595.1	protein_coding	HS6ST3-202
HAVANA	gene	ENSG00000141433	protein_coding	ADCYAP1	HGNC:241	OTTHUMG00000131479.6	ENST00000581602.1	retained_intron	ADCYAP1-204
HAVANA	gene	ENSG00000171759	protein_coding	PAH	HGNC:8582	OTTHUMG00000169966.5	ENST00000550405.2	processed_transcript	PAH-209
HAVANA	gene	ENSG00000162989	protein_coding	KCNJ3	HGNC:6264	OTTHUMG00000131937.5	ENST00000493505.1	processed_transcript	KCNJ3-202
HAVANA	gene	ENSG00000170381	protein_coding	SEMA3E	HGNC:10727	OTTHUMG00000154693.7	ENST00000453333.2	nonsense_mediated_decay	SEMA3E-203
HAVANA	gene	ENSG00000169347	protein_coding	GP2	HGNC:4441	OTTHUMG00000131489.3	ENST00000575730.1	processed_transcript	GP2-211
HAVANA	gene	ENSG00000157005	protein_coding	SST	HGNC:11329	OTTHUMG00000156462.2	ENST00000287641.4	protein_coding	SST-201
HAVANA	gene	ENSG00000224243	lncRNA	SOX1-OT	HGNC:42733	OTTHUMG00000017363.3	ENST00000421423.1	lncRNA	SOX1-OT-201
HAVANA	gene	ENSG00000265766	transcribed_processed_pseudogene	CXADRP3	HGNC:33974	OTTHUMG00000178700.2	ENST00000617265.2	transcribed_processed_pseudogene	CXADRP3-202
HAVANA	gene	ENSG00000183206	protein_coding	POTEC	HGNC:33894	OTTHUMG00000162963.4	ENST00000389891.4	processed_transcript	POTEC-202
HAVANA	gene	ENSG00000132932	protein_coding	ATP8A2	HGNC:13533	OTTHUMG00000016611.6	ENST00000491840.1	processed_transcript	ATP8A2-205
HAVANA	gene	ENSG00000198125	protein_coding	MB	HGNC:6915	OTTHUMG00000150606.12	ENST00000419229.1	protein_coding	MB-206
HAVANA	gene	ENSG00000167711	protein_coding	SERPINF2	HGNC:9075	OTTHUMG00000090552.5	ENST00000382061.4	protein_coding	SERPINF2-202
HAVANA	gene	ENSG00000189056	protein_coding	RELN	HGNC:9957	OTTHUMG00000157247.2	ENST00000473457.1	processed_transcript	RELN-205
HAVANA	gene	ENSG00000101204	protein_coding	CHRNA4	HGNC:1958	OTTHUMG00000033080.8	ENST00000480012.1	processed_transcript	CHRNA4-205
HAVANA	gene	ENSG00000109610	protein_coding	SOD3	HGNC:11181	OTTHUMG00000128565.4	ENST00000382120.4	protein_coding	SOD3-201
HAVANA	gene	ENSG00000138650	protein_coding	PCDH10	HGNC:13404	OTTHUMG00000161301.5	ENST00000511112.2	retained_intron	PCDH10-202
HAVANA	gene	ENSG00000101292	protein_coding	PROKR2	HGNC:15836	OTTHUMG00000031800.2	ENST00000217270.3	protein_coding	PROKR2-201
HAVANA	gene	ENSG00000156234	protein_coding	CXCL13	HGNC:10639	OTTHUMG00000130201.3	ENST00000506590.1	retained_intron	CXCL13-202
HAVANA	gene	ENSG00000275620	lncRNA	AL121827.2	NA	OTTHUMG00000187005.1	ENST00000612722.1	lncRNA	AL121827.2-201
HAVANA	gene	ENSG00000182050	protein_coding	MGAT4C	HGNC:30871	OTTHUMG00000169846.8	ENST00000551751.1	processed_transcript	MGAT4C-204
HAVANA	gene	ENSG00000007062	protein_coding	PROM1	HGNC:9454	OTTHUMG00000160180.6	ENST00000512304.2	processed_transcript	PROM1-213
HAVANA	gene	ENSG00000174469	protein_coding	CNTNAP2	HGNC:13830	OTTHUMG00000152743.11	ENST00000602734.4	processed_transcript	CNTNAP2-204
HAVANA	gene	ENSG00000185053	protein_coding	SGCZ	HGNC:14075	OTTHUMG00000090827.4	ENST00000421524.6	protein_coding	SGCZ-202
HAVANA	gene	ENSG00000184226	protein_coding	PCDH9	HGNC:8661	OTTHUMG00000017040.6	ENST00000377861.4	protein_coding	PCDH9-201
HAVANA	gene	ENSG00000156395	protein_coding	SORCS3	HGNC:16699	OTTHUMG00000019011.2	ENST00000393176.2	protein_coding	SORCS3-203
HAVANA	gene	ENSG00000130287	protein_coding	NCAN	HGNC:2465	OTTHUMG00000182218.6	ENST00000585410.1	retained_intron	NCAN-202
HAVANA	gene	ENSG00000072041	protein_coding	SLC6A15	HGNC:13621	OTTHUMG00000169742.8	ENST00000551010.1	protein_coding	SLC6A15-207
HAVANA	gene	ENSG00000148702	protein_coding	HABP2	HGNC:4798	OTTHUMG00000019073.2	ENST00000460714.1	processed_transcript	HABP2-202
HAVANA	gene	ENSG00000171345	protein_coding	KRT19	HGNC:6436	OTTHUMG00000133422.5	ENST00000462611.1	retained_intron	KRT19-203
HAVANA	gene	ENSG00000145526	protein_coding	CDH18	HGNC:1757	OTTHUMG00000090578.5	ENST00000503132.1	processed_transcript	CDH18-204
HAVANA	gene	ENSG00000157765	protein_coding	SLC34A2	HGNC:11020	OTTHUMG00000097757.6	ENST00000510033.2	processed_transcript	SLC34A2-205
HAVANA	gene	ENSG00000018236	protein_coding	CNTN1	HGNC:2171	OTTHUMG00000169362.4	ENST00000548481.1	nonsense_mediated_decay	CNTN1-206
HAVANA	gene	ENSG00000115221	protein_coding	ITGB6	HGNC:6161	OTTHUMG00000132026.8	ENST00000652612.1	retained_intron	ITGB6-208
HAVANA	gene	ENSG00000040731	protein_coding	CDH10	HGNC:1749	OTTHUMG00000090667.2	ENST00000503958.1	retained_intron	CDH10-203
