IlmnID	Strand	UCSC_RefGene_Name	UCSC_RefGene_Accession	class
cg04635642	R	SNX29	NM_001080530	Body
cg20956738	R	ONECUT2	NM_004852	Body
cg27071152	F	LOC646999	NR_024390	Body
cg08502239	F	RCVRN	NM_002903	Body
cg11738485	F	HOOK2;HOOK2	NM_001100176;NM_013312	Body
cg21270847	R	PBX1	NM_002585	Body
cg01154505	F	FBLN7;FBLN7	NM_153214;NM_001128165	Body
cg17005319	R	DEAF1	NM_021008	Body
cg00610577	R	ETV6	NM_001987	Body
cg19320476	R	FAM181B	NM_175885	Body
cg00056066	F	ARHGAP21	NM_020824	Body
cg10505610	R	SH3PXD2B	NM_001017995	Body
cg13885357	F	KRT3	NM_057088	Body
cg00714725	R	CYP26C1	NM_183374	Body
cg06436185	F	PRKAG2;PRKAG2	NM_016203;NM_001040633	Body
cg14855334	R	CYP11A1;CYP11A1	NM_000781;NM_001099773	Body
cg10835584	F	ONECUT2	NM_004852	Body
cg23168425	F	PTPRN2;PTPRN2;PTPRN2	NM_002847;NM_130842;NM_130843	Body
cg21887193	F	AGAP3;AGAP3	NM_001042535;NM_031946	Body
cg18560264	R	GLYCTK;GLYCTK;GLYCTK;GLYCTK;GLYCTK;GLYCTK	NR_026702;NM_001144951;NR_026700;NR_026701;NM_145262;NR_026699	Body
cg21762523	F	NR2E1	NM_003269	Body
cg22046408	F	LTBP4;LTBP4;LTBP4	NM_001042545;NM_001042544;NM_003573	Body
cg05556923	F	PDGFA;PDGFA	NM_002607;NM_033023	Body
cg25069807	F	TK1	NM_003258	Body
cg10941566	R	CABP7	NM_182527	Body
cg27616039	R	CACNA1H;CACNA1H	NM_021098;NM_001005407	Body
cg14245804	R	LRP5	NM_002335	Body
cg18631798	R	ACOX3;ACOX3	NM_001101667;NM_003501	Body
cg16955889	F	SOX2OT	NR_004053	Body
cg00172603	F	SSBP3;SSBP3;SSBP3	NM_001009955;NM_018070;NM_145716	Body
cg17266581	R	MBP;MBP	NM_001025100;NM_001025101	Body
cg13390630	R	CDH22	NM_021248	Body
cg13732582	R	KLB	NM_175737	Body
cg14457782	R	WNK4	NM_032387	Body
cg13401893	R	RNF39;RNF39	NM_170769;NM_025236	Body
cg23173307	F	CPLX1	NM_006651	Body
cg05458079	R	LBXCOR1	NM_001031807	Body
cg13496041	R	SLC6A6;SLC6A6	NM_003043;NM_001134367	Body
cg16769152	R	KCTD14	NM_023930	Body
cg24746106	F	MCF2L;MCF2L	NM_001112732;NM_024979	Body
cg05141014	F	PART1;PART1;PDE4D;PART1	NR_028508;NR_024617;NM_001165899;NR_028509	Body
cg04904318	R	HOXB1	NM_002144	Body
cg06779449	R	TOX2;TOX2;TOX2	NM_001098796;NM_001098797;NM_032883	Body
cg27603915	R	NELL1;NELL1	NM_006157;NM_201551	Body
cg24042242	R	C1QL1	NM_006688	Body
cg02080909	R	BAIAP2;BAIAP2;BAIAP2;BAIAP2	NM_017450;NM_006340;NM_001144888;NM_017451	Body
cg13817725	R	SEC14L1;SEC14L1;SEC14L1;SEC14L1;SEC14L1	NM_001143999;NM_003003;NM_001143998;NM_001039573;NM_001144001	Body
cg06335867	F	NXPH1	NM_152745	Body
cg25282976	F	FLJ90757	NR_026857	Body
cg16570157	F	EFCAB4A	NM_173584	Body
cg01207684	R	ADCY9	NM_001116	Body
cg02192520	F	RDH5;RDH5	NM_002905;NM_002905	Body
cg17242351	R	ACTC1	NM_005159	Body
cg22979783	F	CYP26B1	NM_019885	Body
cg12161228	R	NOX4;NOX4;NOX4;NOX4;NOX4;NOX4	NM_016931;NM_001143836;NM_001143837;NM_016931;NM_001143836;NR_026571	Body
cg26503877	R	ETS1;ETS1;ETS1	NM_001143820;NM_001162422;NM_005238	Body
cg10184983	F	SRCIN1	NM_025248	Body
cg08118159	R	SPTBN4;SPTBN4	NM_025213;NM_020971	Body
cg16606773	R	RIN2	NM_018993	Body
cg12773394	F	CRMP1	NM_001014809	Body
cg19092981	F	TBX1;TBX1;TBX1	NM_080647;NM_005992;NM_080646	Body
cg10659805	F	DLX6AS	NR_015448	Body
cg08409113	R	WNK4	NM_032387	Body
cg03729251	F	LRBA	NM_006726	Body
cg04360793	R	ELTD1;ELTD1	NM_022159;NM_022159	Body
cg01940181	F	PRDM16;PRDM16	NM_022114;NM_199454	Body
cg08382235	F	TBX1;TBX1;TBX1	NM_080647;NM_005992;NM_080646	Body
cg09969277	F	LOC254559	NR_015411	Body
cg12621203	F	TCEA3	NM_003196	Body
cg11827910	R	PAX6;PAX6;PAX6	NM_001604;NM_001127612;NM_000280	Body
cg00299943	R	L3MBTL2	NM_031488	Body
cg26224791	F	CLPTM1L	NM_030782	Body
cg15485247	F	ABR;ABR;ABR	NM_021962;NM_001092;NM_001159746	Body
cg01357135	R	PPM1L	NM_139245	Body
cg06098276	F	TK1	NM_003258	Body
cg02624701	F	SLC17A7	NM_020309	Body
cg03810198	F	MXRA7;MXRA7;MXRA7	NM_001008528;NM_001008529;NM_198530	Body
cg18502142	F	DLX6AS	NR_015448	Body
cg01003448	R	FBXL16	NM_153350	Body
cg07855465	F	BAHCC1	NM_001080519	Body
cg03780927	F	BCL9L;BCL9L	NM_182557;NM_182557	Body
cg04517524	F	ASB2	NM_016150	Body
cg05452406	F	GCM2	NM_004752	Body
cg16288089	R	TAC1;TAC1;TAC1;TAC1;TAC1;TAC1;TAC1;TAC1	NM_013996;NM_013998;NM_013996;NM_003182;NM_003182;NM_013998;NM_013997;NM_013997	Body
cg13088368	R	TOX2;TOX2;TOX2	NM_001098796;NM_001098797;NM_032883	Body
cg24932788	F	SOX9	NM_000346	Body
cg10911054	R	SHANK2	NM_012309	Body
cg05397033	F	CDH4	NM_001794	Body
cg03972071	F	ZADH2	NM_175907	Body
cg14557185	R	WWTR1;WWTR1;WWTR1	NM_015472;NM_001168278;NM_001168280	Body
cg12223582	F	SRRM3	NM_001110199	Body
cg12633154	R	RNF39;RNF39	NM_170769;NM_025236	Body
cg14032529	R	TCF7L2;TCF7L2;TCF7L2;TCF7L2;TCF7L2;TCF7L2	NM_001146284;NM_001146285;NM_030756;NM_001146274;NM_001146286;NM_001146283	Body
cg22371972	R	SLC17A6	NM_020346	Body
cg08879470	F	MYO7A;MYO7A;MYO7A	NM_000260;NM_001127180;NM_001127179	Body
cg11146691	F	SLC38A4;SLC38A4;SLC38A4;SLC38A4	NM_018018;NM_018018;NM_001143824;NM_001143824	Body
cg09802835	F	PHOX2A	NM_005169	Body
cg04206484	F	C7orf50;C7orf50;C7orf50	NM_001134395;NM_032350;NM_001134396	Body
cg17123690	F	SHISA7	NM_001145176	Body
cg27003782	R	CPXM2;CPXM2	NM_198148;NM_198148	Body
cg13451082	R	OLFM1;OLFM1	NM_014279;NM_006334	Body
cg06355422	F	C22orf34	NR_026997	Body
cg25823926	R	CRADD	NM_003805	Body
cg10695105	R	KCNH3	NM_012284	Body
cg21977377	F	NKX2-2	NM_002509	Body
cg13500072	R	FAM176B	NM_018166	Body
cg03979241	F	EPB49;EPB49;EPB49;EPB49;EPB49;EPB49;EPB49;EPB49	NM_001978;NM_001114136;NM_001114138;NM_001114135;NM_001978;NM_001114138;NM_001114137;NM_001114139	Body
cg23757446	F	ONECUT2	NM_004852	Body
cg02839725	R	MYO1D	NM_015194	Body
cg20517614	F	FRMD4A	NM_018027	Body
cg13464117	R	PTPRN2;PTPRN2;PTPRN2	NM_002847;NM_130842;NM_130843	Body
cg02090762	R	FSCN2;FSCN2	NM_001077182;NM_012418	Body
cg07907386	R	PHOX2B	NM_003924	Body
cg08985785	F	KCNK5	NM_003740	Body
cg02505956	F	PTPRN2;PTPRN2;PTPRN2	NM_002847;NM_130842;NM_130843	Body
cg08455275	F	PLEC1;PLEC1	NM_000445;NM_201378	Body
cg02348751	F	MGC45800	NR_027107	Body
cg10940462	F	NRXN2;NRXN2	NM_138732;NM_015080	Body
cg23298862	F	PTPRN2;PTPRN2;PTPRN2	NM_002847;NM_130842;NM_130843	Body
cg10253929	F	LTBP4;LTBP4;LTBP4	NM_001042545;NM_001042544;NM_003573	Body
cg08894487	R	ARID3A	NM_005224	Body
cg07944798	R	BAHCC1	NM_001080519	Body
cg27505627	R	BAIAP2L2;BAIAP2L2	NM_025045;NM_025045	Body
cg02209667	R	BCAR1;BCAR1;BCAR1;BCAR1;BCAR1;BCAR1;BCAR1;BCAR1;BCAR1;BCAR1	NM_001170718;NM_001170719;NM_001170721;NM_001170721;NM_001170715;NM_001170720;NM_014567;NM_001170716;NM_001170714;NM_001170717	Body
cg07852840	R	SPSB4	NM_080862	Body
cg03545077	R	TPO;TPO;TPO;TPO	NM_175719;NM_000547;NM_175721;NM_175722	Body
cg26016267	F	TOLLIP	NM_019009	Body
cg18588323	R	TNFAIP8L3	NM_207381	Body
cg02293118	R	CAMK2B;CAMK2B;CAMK2B;CAMK2B;CAMK2B;CAMK2B;CAMK2B;CAMK2B	NM_172081;NM_172082;NM_172083;NM_172084;NM_172079;NM_001220;NM_172078;NM_172080	Body
cg19757631	F	SRM	NM_003132	Body
cg13153009	F	ZC3H3	NM_015117	Body
cg11793699	R	NTRK1;INSRR	NM_001007792;NM_014215	Body
cg21637392	R	RNF216;RNF216	NM_207111;NM_207116	Body
cg00675160	F	CACNA1H;CACNA1H	NM_021098;NM_001005407	Body
cg08942682	R	KIAA0226;KIAA0226	NM_014687;NM_001145642	Body
cg18789918	R	SLITRK1;SLITRK1	NM_052910;NM_052910	Body
cg10136354	F	EMX1	NM_004097	Body
cg19484420	F	GYPC;GYPC	NM_016815;NM_002101	Body
cg08613597	R	GNAO1;GNAO1;LOC283856	NM_020988;NM_138736;NR_027078	Body
cg01966091	R	HAS3;HAS3;HAS3	NM_005329;NM_138612;NM_005329	Body
cg06087421	F	TAL1;TAL1	NM_003189;NM_003189	Body
cg07486474	R	PDE6B;PDE6B	NM_000283;NM_001145291	Body
cg19981568	R	SIX6	NM_007374	Body
cg09173621	F	ARHGEF7;ARHGEF7;ARHGEF7	NM_001113511;NM_001113512;NM_145735	Body
cg19754622	F	STK32C	NM_173575	Body
cg10930308	R	RNF39;RNF39	NM_170769;NM_025236	Body
cg00063471	R	TNFAIP8L3	NM_207381	Body
cg17102069	F	PIM1	NM_002648	Body
cg17298275	F	ABR;ABR;ABR	NM_021962;NM_001092;NM_001159746	Body
cg13611121	R	COL5A1	NM_000093	Body
cg10455938	F	CACNA1I;CACNA1I	NM_001003406;NM_021096	Body
cg02395396	R	RAB3B	NM_002867	Body
cg12749132	R	LOC100132111;C2CD4D	NR_024237;NM_001136003	Body
cg16026813	F	BTRC;BTRC	NM_003939;NM_033637	Body
cg09179249	R	CASZ1;CASZ1	NM_017766;NM_001079843	Body
cg26953293	F	KIAA0182;KIAA0182	NM_001134473;NM_014615	Body
cg24502224	R	PEX14	NM_004565	Body
cg09022584	F	TMEM51;TMEM51;TMEM51;TMEM51	NM_001136217;NM_001136218;NM_001136216;NM_018022	Body
cg15590989	R	MGC45800	NR_027107	Body
cg04246763	R	LOC339524	NR_026989	Body
cg18972013	F	GAA;GAA;GAA	NM_001079804;NM_000152;NM_001079803	Body
cg03726569	F	SAFB2	NM_014649	Body
cg14032025	F	ZFP64	NM_199427	Body
cg08866991	R	HRNBP3	NM_001082575	Body
cg23238119	F	C6orf147	NR_027005	Body
cg18598117	F	ARID3A	NM_005224	Body
cg17178900	R	PM20D1	NM_152491	Body
cg23613219	F	ERBB2;ERBB2;ERBB2	NM_001005862;NM_004448;NM_004448	Body
cg04055819	R	FRMD4A	NM_018027	Body
cg17983265	F	CUGBP2;CUGBP2;CUGBP2;CUGBP2	NM_001025076;NM_006561;NM_001025077;NM_001083591	Body
cg07921384	R	SPEG	NM_005876	Body
cg23239637	R	TPO;TPO;TPO;TPO	NM_175719;NM_000547;NM_175721;NM_175722	Body
cg17216478	F	ECE1;ECE1;ECE1	NM_001113349;NM_001397;NM_001113348	Body
cg16683160	R	LOC339524	NR_026989	Body
cg17542408	F	ODZ4	NM_001098816	Body
cg02916102	F	CYP11A1;CYP11A1;CYP11A1	NM_001099773;NM_000781;NM_001099773	Body
cg17504135	R	MED16	NM_005481	Body
cg05136471	F	PLXNC1	NM_005761	Body
cg25382573	R	C12orf74;C12orf74	NM_001037671;NM_001037671	Body
cg03176729	R	HTRA1	NM_002775	Body
cg15082028	R	PAX7;PAX7;PAX7	NM_013945;NM_002584;NM_001135254	Body
cg16865965	R	VAMP5	NM_006634	Body
cg04156293	R	ACHE;ACHE	NM_015831;NM_000665	Body
cg18637486	R	MIR657;AATK;MIR338	NR_030394;NM_001080395;NR_029897	Body
cg16440058	F	ASIP	NM_001672	Body
cg00097146	F	SIX3	NM_005413	Body
cg14758218	F	NEAT1	NR_028272	Body
cg11694519	F	CRYAB;HSPB2	NM_001885;NM_001541	Body
cg23066280	F	PTPRN2;PTPRN2;PTPRN2	NM_002847;NM_130842;NM_130843	Body
cg04003850	F	FGF12;FGF12;FGF12	NM_021032;NM_021032;NM_004113	Body
cg12250896	F	DPYSL4	NM_006426	Body
cg22851944	R	GRIK2;GRIK2;GRIK2	NM_001166247;NM_175768;NM_021956	Body
cg24578679	R	CYP11A1;CYP11A1	NM_000781;NM_001099773	Body
cg19280586	F	LBXCOR1	NM_001031807	Body
cg26170604	F	NXPH1	NM_152745	Body
cg04912843	R	GIPC2	NM_017655	Body
cg09492451	R	IRX5	NM_005853	Body
cg12072028	R	RIN3	NM_024832	Body
cg25301532	R	KCNK15	NM_022358	Body
cg17386213	F	NR2E1	NM_003269	Body
cg13878066	R	TMEM51;TMEM51;TMEM51;TMEM51	NM_001136217;NM_001136218;NM_001136216;NM_018022	Body
cg16269733	R	BCAN;BCAN	NM_198427;NM_021948	Body
cg18684142	F	LOC404266;LOC404266;HOXB6	NR_033204;NR_033201;NM_018952	Body
cg14270002	F	ARHGEF7;ARHGEF7;ARHGEF7;ARHGEF7;ARHGEF7	NM_001113511;NM_001113513;NM_001113512;NM_003899;NM_145735	Body
cg16459349	F	PRKCDBP;PRKCDBP	NM_145040;NM_145040	Body
cg17243643	F	RDH5;RDH5	NM_002905;NM_002905	Body
cg20638467	F	KCTD15;KCTD15;KCTD15	NM_001129994;NM_024076;NM_001129995	Body
cg16397968	R	PFKP	NM_002627	Body
cg13829680	R	VAV2;VAV2	NM_001134398;NM_003371	Body
cg25444386	R	KDR	NM_002253	Body
cg09143801	R	SEMA6C	NM_030913	Body
cg26337070	R	ATOH8	NM_032827	Body
cg19893585	R	PLEC1;PLEC1;PLEC1;PLEC1	NM_000445;NM_201378;NM_201379;NM_201380	Body
cg01764954	R	GRAMD2	NM_001012642	Body
cg24603941	R	MIA2;MIA2	NM_054024;NM_054024	Body
cg27009392	F	TMED6	NM_144676	Body
cg22897615	R	PRRT1	NM_030651	Body
cg14875171	R	NRXN1;NRXN1;NRXN1;NRXN1	NM_004801;NM_138735;NM_138735;NM_001135659	Body
cg10754215	F	ABLIM2;ABLIM2;ABLIM2;ABLIM2;ABLIM2;ABLIM2;ABLIM2	NM_032432;NM_001130083;NM_001130087;NM_001130088;NM_001130084;NM_001130085;NM_001130086	Body
cg06796779	R	GATA2;GATA2;GATA2	NM_001145661;NM_032638;NM_001145662	Body
cg19105122	R	SRRM3	NM_001110199	Body
cg22438763	R	FOXD2;MGC12982	NM_004474;NR_026878	Body
cg02476374	R	CACNA1H;CACNA1H	NM_021098;NM_001005407	Body
cg02246426	F	GDF6	NM_001001557	Body
cg08379987	F	C13orf26	NM_152325	Body
cg02553284	F	COL2A1;COL2A1	NM_001844;NM_033150	Body
cg00933153	F	C20orf56	NR_001558	Body
cg06060135	R	IRX1	NM_024337	Body
cg06809252	R	ALX3	NM_006492	Body
cg16179125	R	CTSZ	NM_001336	Body
cg19320820	F	AFF1;AFF1	NM_001166693;NM_005935	Body
cg17737681	R	DLX1;DLX1	NM_178120;NM_001038493	Body
cg12198334	F	SHANK2	NM_012309	Body
cg01546047	F	LOC100130872-SPON2;SPON2;SPON2	NR_033182;NM_012445;NM_001128325	Body
cg05917460	F	PAX9;PAX9	NM_006194;NM_006194	Body
cg07015803	F	BCL11B;BCL11B	NM_022898;NM_138576	Body
cg09490603	R	CYP11A1;CYP11A1;CYP11A1	NM_001099773;NM_000781;NM_001099773	Body
cg17829746	F	PROX1	NM_002763	Body
cg07249274	F	MCC;MCC	NM_002387;NM_001085377	Body
cg02973171	R	FAM181B	NM_175885	Body
cg00164583	F	ZFPM1	NM_153813	Body
cg03238075	F	TMEM11;TMEM11	NR_024547;NM_003876	Body
cg11088422	R	RUNDC3A;RUNDC3A;RUNDC3A	NM_001144826;NM_001144825;NM_006695	Body
cg10004481	F	SLC24A4;SLC24A4;SLC24A4	NM_153647;NM_153648;NM_153646	Body
cg15384598	R	JPH4;JPH4	NM_001146028;NM_032452	Body
cg01295339	R	LBX2;LOC151534	NM_001009812;NR_024606	Body
cg10308785	R	LOC404266;LOC404266;LOC404266;LOC404266;HOXB6;LOC404266	NR_033203;NR_033205;NR_033204;NR_033201;NM_018952;NR_033202	Body
cg18182399	F	DES;DES	NM_001927;NM_001927	Body
cg13943217	F	PRDM12	NM_021619	Body
cg16148454	F	TMED6	NM_144676	Body
cg21644334	F	AMPD2;AMPD2;AMPD2;AMPD2	NM_139156;NM_203404;NM_203404;NM_004037	Body
cg00450784	R	RFX4	NM_213594	Body
cg16100355	R	MCF2L;MCF2L	NM_001112732;NM_024979	Body
cg14859874	F	UBAP2L	NM_014847	Body
cg00947782	F	RNF39;RNF39	NM_170769;NM_025236	Body
cg07795766	F	C22orf9;C22orf9	NM_001009880;NM_015264	Body
cg18007837	R	ALOX12P2	NR_002710	Body
cg14534144	R	TMCO3	NM_017905	Body
cg12907983	R	CACNB4;CACNB4;CACNB4	NM_000726;NM_001145798;NM_001005746	Body
cg25019648	R	BTBD17	NM_001080466	Body
cg20434926	R	GIPR	NM_000164	Body
cg08582485	R	C20orf56	NR_001558	Body
cg02484210	R	NPY	NM_000905	Body
cg22789318	F	ABR;ABR;ABR	NM_021962;NM_001092;NM_001159746	Body
cg19866866	R	ZNF648	NM_001009992	Body
cg04262428	R	SHANK2	NM_012309	Body
cg19897071	F	UGT3A1;UGT3A1	NM_152404;NM_152404	Body
cg13300273	F	GPR25	NM_005298	Body
cg03585323	R	SF3A2	NM_007165	Body
cg03392386	F	IGSF9B	NM_014987	Body
cg09632273	F	DDAH2	NM_013974	Body
cg02548132	R	ANGPT2;ANGPT2;ANGPT2;MCPH1	NM_001147;NM_001118888;NM_001118887;NM_024596	Body
cg26758486	R	SDK2	NM_001144952	Body
cg17193961	R	RPH3AL	NM_006987	Body
cg06601666	R	C17orf101;C17orf101	NM_175902;NM_024648	Body
cg17199181	F	MBP;MBP	NM_001025100;NM_001025101	Body
cg22795345	F	ARHGEF7;ARHGEF7;ARHGEF7;ARHGEF7;ARHGEF7	NM_001113511;NM_001113513;NM_001113512;NM_003899;NM_145735	Body
cg21361094	F	B4GALNT1	NM_001478	Body
cg01762827	R	HAS3;HAS3;HAS3	NM_005329;NM_138612;NM_005329	Body
cg15362455	R	PLA1A;PLA1A	NM_015900;NM_015900	Body
cg14170999	R	BAHCC1	NM_001080519	Body
cg10906729	F	LOC404266;LOC404266;HOXB6	NR_033204;NR_033201;NM_018952	Body
cg07824824	R	CIDEA;CIDEA	NM_001279;NM_198289	Body
cg07213482	R	FAM13A;FAM13A	NM_014883;NM_001015045	Body
cg11567001	R	SMARCD3;SMARCD3;SMARCD3	NM_001003802;NM_001003801;NM_003078	Body
cg21935981	F	C22orf9;C22orf9	NM_001009880;NM_015264	Body
cg16419441	R	DPYS	NM_001385	Body
cg21058973	R	HNF4A;HNF4A;HNF4A;HNF4A;HNF4A;HNF4A;HNF4A;HNF4A;HNF4A	NM_178849;NM_001030003;NM_001030004;NM_178849;NM_000457;NM_000457;NM_178850;NM_175914;NM_178850	Body
cg04248271	F	EBF1	NM_024007	Body
cg03555710	F	PFKFB3	NM_001145443	Body
cg16726667	R	SLC12A4;SLC12A4;SLC12A4;SLC12A4	NM_001145961;NM_001145962;NM_005072;NM_001145964	Body
cg03677069	F	SNCG;SNCG;MMRN2	NM_003087;NM_003087;NM_024756	Body
cg13320291	F	GFRA1;GFRA1;GFRA1	NM_001145453;NM_005264;NM_145793	Body
cg00973286	F	TNFRSF1A;TNFRSF1A	NM_001065;NM_001065	Body
cg02030008	R	PTPRN2;PTPRN2;PTPRN2	NM_002847;NM_130842;NM_130843	Body
cg20072442	R	CTNNA2;LRRTM1;CTNNA2	NM_004389;NM_178839;NM_001164883	Body
cg21543859	F	RUNX2;RUNX2;RUNX2	NM_001015051;NM_001024630;NM_004348	Body
cg04998671	F	TRMT61A	NM_152307	Body
cg12813441	R	RTN4;RTN4;RTN4;RTN4	NM_207520;NM_020532;NM_153828;NM_207521	Body
cg25230043	F	ERICH1	NM_207332	Body
cg12314682	F	TBC1D16	NM_019020	Body
cg00849267	F	LMF1	NM_022773	Body
